submitted on,title (generated by manual input from admin),1 what problem from your healthcare setting do you want to tackle,2 will a change in behavior address this problem,3 whose behaviour should primarily be changed,3. other,4 who will the primary beneficiary of this behaviour change be,4. other,5 current behaviour what are they currently doing,6 desired behaviour what should they be doing that might solve the problem,7 why might they not be doing the desired behavior,7.other,please describe your response,8 how will the behaviour change address the problem,9 at which stage of the patient journey map does this problem arise,9. other,10 does this problem manifest itself in any of the following settings,10. other,,,,,,,,,,,,,,,,text-2,text-3,text-4,text-9,text-12,text-15
,"Adopt a novel scalable, patient-centered method of engaging patients after an ED visit for OUD to enhance naloxone acquisition, carrying, and use via text messaging","Improve naloxone uptake, carrying and use post-ED discharge",Yes,"Physician, Nurse",,Patient,,Disparity in engagement and follow-up on naloxone use post-discharge,"Adopt a novel scalable, patient-centered method of engaging patients after an ED visit for OUD to enhance naloxone acquisition, carrying, and use via text messaging",Ambiguity: unclear guidance to users to adopt desired behaviour,,"Lack of strategies that target habit formation, including repetition, context cues, and intermittent rewards","Text messaging can be used to quickly capture, analyze, understand the patient-reported outcomes data, and induce behavioural change in real time.",Stage 2,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Use wearable devices to monitor changes on patients in their daily health behaviors to solve the progression from prediabetes to diabetes among adults.,Underutilization of behavioral interventions and medications for preventing the progression from prediabetes to diabetes among adults,Yes,"Patient, Physician",,Patient,,"Most models predicting the progression from prediabetes to diabetes vary in accuracy, most focus on predicting outcomes over longer-term periods and rely on information available at a single timepoint.","Patients should be encouraged to use wearable devices to monitor changes in daily health behaviors, and physicians should utilize data from these devices to make informed decisions about interventions",Complexity: nuances or variations of implementing interventions in real life,,Hard to balance between the cost and accuracy of using wearable devices; using a wearable device to inform risk prediction is unknown and needs further study,"Real-time data from wearable devices into risk prediction models can improve the identification of individuals at high risk for worsening glycemic control, allowing for more targeted and effective interventions",Stage 1,,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Improve understanding of intention-implementation gap to solve underutilization of trauma narratives (TN) in trauma-focused cognitive-behavioral therapy (TF-CBT).,Underutilization of trauma narratives (TN) in trauma-focused cognitive-behavioral therapy (TF-CBT) by community therapists in treating children and adolescents,Yes,Other: Community Therapist,,Paitent,,Therapist is less motivated to deliver TNs compared to other cognitive behavioural therapy and express concerns about its appropriateness for some settings.,Adopt TNs more often after an improved understanding of intention-implementation gap.,Complexity: nuances or variations of implementing interventions in real life,,"Lack of confidence, concerns about exacerbating clients' symptoms, insufficient organizational support, cultural or familial norms regarding trauma discussion, and challenges related to chronic or ongoing trauma exposure among clients","With identified contextual factors and inner settings that may influence the development of intentions, an improved understanding of intention-implementation gap would help build up the strategy for TNs use enhancement.",Stage 3,,Community Care,,,,,,,,,,,,,,,,,,,,,,
,"Improve an understanding of facilitators, barriers, and strategies to solve the incomprehension on the adoption and integration of social determinants of health (SDOH).",Incomprehensive information for the adoption and integration of social determinants of health (SDOH) and social needs screening in clinical care.,Yes,Other: Researchers,,Patient,,Focus on developing screening tools withour exploring influential factors using established determinant frameworks.,"An understanding of facilitators, barriers, and strategies for the implementation of SDOH.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Can be lack of awareness, training, and systemic support for SDOH integration","With a summary of this knowledge, future research could achieve intended treatment outcomes of SDOH and social needs screening, referral, and follow-up utilizing the comprehensive knowledge of known implementation factors.",Stage 2,,"Primary Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,Nudge patients with personalized and targeted text reminders to solve the low pharmacy vaccination uptake.,Low pharmacy vaccination uptake rates,Yes,"Administrative Staff, Physician",,Patient,,"Vaccination uptake rate doesn't meet the goal, and millions of patients who have taken the first dose forgot to take the second dose.",Patients should be nudged through personalized and targeted text reminders to increase vaccination rates,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Forgetting, failing to plan, and low motivation","Personalized text reminders can close the intention-action gap, leading to higher vaccination rates",Stage 1,,Community Care,,,,,,,,,,,,,,,,,,,,,,
,Increase the use of evidence-based guidelines with identified facilitators and barriers  to solve the insufficient understanding in comprehensive polycystic ovary syndrome (PCOS) care.,Physicians lack understanding of how to diagnose and manage polycystic ovary syndrome (PCOS).,Yes,"Administrative Staff, Physician, Public Health",,Patient,,Physicans show low update of the screening recommendations despite international evidence-based guidelines was introduced in 2018.,Increase the use of evidence-based guidelines with identified facilitators and barriers in comprehensive PCOS care.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Lack of awareness, insufficient training, and resource constraints",Knowing the facilitators and barriers to care provided by general gynecologists and PCPs can inform the implementation of best practices for comprehensive PCOS care.,Stage 2,,"Primary Care, Hospital Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,Implement measures and incentives by payers and regulators to solve unmet parient-centered care (PCC) in inpatient psychiatry.,Unmet patient-centered care (PCC) in inpatient psychiatry.,Yes,"Administrative Staff, Physician",,Patient,,Lack of emphasis on PCC; current practices often feel more punitive than healing,Implement measures and incentives by payers and regulators to prioritize and evaluate PCC outcomes,Complexity: nuances or variations of implementing interventions in real life,,"Organizational priorities, influenced by payers and regulators, currently limit the ability to provide helpful care",Focusing on PCC could transform the care environment to be more healing and supportive for patients,Stage 3,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Prompt earlier conversation with patients using a better clinician assessment of life expectancy to solve underutilization of early conversation between clinician and patients with cancer.,Under-utilization of early conversations between clinicians and patients with cancer.,Yes,"Administrative Staff, Physician, Public Health",,Patient,,Physicians delay or miss conversations with patients about goals and care preferences.,Prompt earlier conversation with patients using a better clinician assessment of life expectancy faciitated by ML prognoistic algorithms.,Tech/tools constraints: the desired behaviour change is restricted due to underequipped or inaccessible technology/device/tools,,"Limited transparency and interpretability of the inputs, algorithm, and outputs; lack of knowledge in clinician perspectives on use of ML prognostic algorithms in practice.","Compared with conventional static algorithm prediction, ML prognostic algorithms collect data at multiple time points in a patient's trajectory, facilitate a more accurate prognosis.",Stage 2,,"Primary Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,"Regularly assess and initiate buprenorphine treatment for opioid use disorder, employ peer recovery specialists, and follow a multi-component strategy to solve opioid use disorder.",Little knowledge in methods of implementing emergency department-initiated buprenorphine for opioid use disorder.,Yes,"Physician, Nurse",,Patient,,Limited use of buprenorphine or take-home naloxone,"Emergency Department providers should regularly assess and initiate buprenorphine treatment for opioid use disorder, employ peer recovery specialists, and follow a multi-component strategy to enhance patient care",Complexity: nuances or variations of implementing interventions in real life,,"Time constraints, competing demands, lack of knowledge or comfort with opioid use disorder treatment, regulatory requirements, and absence of clear protocols or guidance","Sustained increases in treatment and process measures, enhancing opioid use disorder care in the emergency department",Stage 2,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Implementing a specialist-led model of care to solve the suboptimum in cardiovascular disease (CVD) prevention.,Suboptimal cardiovascular disease (CVD) prevention in patients with psoriatic disease,Yes,Physician,,Patient,,"Screening rates are suboptimal, and statins, while effective for CVD prevention, are underused in this patient group. Patients with psoriatic disease do not regularly see a primary care physician",Implementing a specialist-led model of care,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,Current model may not effectively reach many patients with psoriatic disease,Improve direct access to CVD prevention care for psoriatic disease patients,Stage 2,,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,leverage large multi-institutional collaborative research consortia to solve low update of implementation science (IS) in pediatric oncology.,Low uptake of implementation science (IS) in pediatric oncology,Yes,"Physician, Public Health",,"Patient, Nurse Practitioner, Physician, Nurse",,"Historical emphasis of pediatric oncology IS has been on cancer prevention, cancer control, and supportive care.","Achieve higher utilization of IS within supportive care, survivorship community, and sustainability by the influence of large multi-institutional collaborative research consortia.",Research lagging behind: researchers and/or healthcare practitioners need further understanding,,the unique facets of the cooperative group trial infrastructure for pediatric oncology,Widespread cooperative group trials with timely and effective central governance can narrow evidence-to-practice gap.,"Stage 1, Stage 2, Stage 3, Stage 4",,"Hospital Care, Other: Reasearch Insititutions",,,,,,,,,,,,,,,,,,,,,,
,Initiating ED treatment by incorporate a nurse-driven (opiord use disorder) OUD screening and treatment protocol to solve OUD and overdose.,Opioid use disorder (OUD) and overdose,Yes,"Nurse, Physician",,Patient,,"Patients with OUD are treated for other acute issues, medically cleared, discharged, and left to navigate a complex treatment system on their own.",Initiating ED treatment by incorporate a nurse-driven OUD screening and treatment protocol.,Complexity: nuances or variations of implementing interventions in real life,,ED clinicians feel uncomfortable to OUD management; competing priorities at ED,Intervene on OUD by identifying appropriate patients early in their ED stay,Stage 2,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Design interventions that seek to restructure and reinforce new practice and associate them with peer and reference group behaviours to solve the challenge in promoting professional behaviour change in healthcare.,Challenge in promoting professional behaviour change in healthcare.,Yes,"Physician, Nurse Practitioner",,Everyone,,"Some interventions are carried out to target individual behavioural processes instead of implemented through collection action. Some may fail just due to a less effective format, for instance, marketing.","Design interventions that seek to restructure and reinforce new practice and associate them with peer and reference group behaviours (eg, option leaders, educational meeting,educational outreach, reminders, etc)",Complexity: nuances or variations of implementing interventions in real life,,Success of behavioural interventions seem variable and the characteristics of more successful interventions are unclear.,By introducing interventions based on action and bundling them together would help bridge the gap between research evidence and clinical practice.,"Stage 2 and Stage 3, where decisions about patient treatment and management are made.",,"Primary Care, Hospital Care, Home and long-Term Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,Adopt consistent and scientifically backed practices to address COVID-19 spread through large-scale behavior change.,Address COVID-19 spread through large-scale behavior change.,Yes,Everyone,,Public Health,,"Adoption of required behaviours in population has been variable across countries, over time and across social groups.","Populations should adopt consistent and scientifically backed practices such as social distancing, mask-wearing, regular hand washing, and getting vaccinated when eligible.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"The public are lack of capability, motivation or opportunity, or their combination to drive behaviour change. Limited public trust in government and experts. Socio-economic constraints.","The public will be faciliated in taking expected behaviour change by effective and balanced interventions from authorities, combined with trust fostering.",Stage 1,,"Primary Care, Hospital Care, Home and Long-Term Care, Community Care, and more.",,,,,,,,,,,,,,,,,,,,,,
,"Individuals should adopt and maintain healthier habits, facilitated by the use of Health Behavior Change Support Systems (HBCSS) to solve the challenge in metabolic syndrome prevention.",Promote lifestyle changes for metabolic syndrome prevention.,Yes,Patient,,Patient,,"Individuals take on common weight-loss strategies such as restricted number of calories, a reduced amount of fat, and an increased amount of exercise.","Individuals should adopt and maintain healthier habits, such as regular physical activity, balanced nutrition, and other lifestyle changes, facilitated by the use of Health Behavior Change Support Systems (HBCSS) like Onnikka designed to support habit formation and lifestyle intervention.",Complexity: nuances or variations of implementing interventions in real life,,"Lack of proper toolkits to help them self-monitor their health and intake, and raise awareness of unwanted habits.",Behavior change supported by HBCSS will address the problem by helping individuals develop and maintain healthy habits that lead to sustained lifestyle changes and reduce the risk of metabolic syndrome and improve overall health.,Stage 1,,"Primary Care, Home and Long-Term Care, Community Care.",,,,,,,,,,,,,,,,,,,,,,
,"Solve inefficiency and waste in healthcare by designing effective interventions to improve patient medication adherence and attendance and tak-up, including patient decision aids to improve care quality, adopting cost feedback to help reduce over treatment, enhancing discharge process, designing holistic interventions in improving individuals’ preventive health behaviours. ",Inefficiency and waste in healthcare.,Yes,"Physician, Nurse Practitioner, Patient, adminitrative Staff",,"Patient, Public Health",,"Overtreatment, non-adherence to medications, low attendance and take-up, mismatch between care received and patient preference, poor hand over, and poor individual's preventive health behaviours.","Healthcare providers should design effective interventions to improve patient medication adherence and attendance and tak-up, to include patient decision aids to improve care quality, to adopt cost feedback to help reduce over treatment, to enhance discharge process, and to design holistic interventions in improving individuals’ preventive health behaviours. Evidence-based practices should also be incrporated.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Lack of awareness, motivation, or understanding of the importance of certain behaviors; habitual practices that are hard to change; and systemic issues in healthcare settings that do not support efficient behaviors.","This can be achieved through nudging interventions like simplified guidelines, reminders, default options, and social norm feedback.","Stage 1, Stage 2, Stage 3, Stage 4",,"Primary Care, Hospital, Community Care",,,,,,,,,,,,,,,,,,,,,,
,"Analyze the influencing factors of cognitive, social and environmental drivers and barriers around individuals to solve the challenge in achieving global health objectives.","Achieve global health objectives: reduce diseases, improve antibiotic stewardship, boost prevention, and enhance epidemic management.",Yes,"Public health experts (practioners, policy-makers, researchers)",,Everyone,,"Public health efforts have often focused on increasing knowledge and awareness, but have not fully addressed the behavioral influences within individuals' environments.","Public health efforts should be analyzing the influencing factors of cognitive, social and environmental drivers and barriers around individuals. This would allow for the implementation of discrete changes in the environment through designing and improving the impact of programmes and policies which would in turn impact behaviours",Research lagging behind: researchers and/or healthcare practitioners need further understanding,,"The desired behaviour is not exemplified due to the practitioners and researchers not being able to capture, describe or understand the mechanisms of actions of effective behavioural science techniques. In order to address the challenges and behaviours more research, investment, capacity-building, experimentation and improved collaboration between public health experts and behavioural scientists is required.","By systematically employing behavioral science, public health programs can be designed to impact behavior effectively.","Stage 1, Stage 2, Stage 3, Stage 4",,"Primary Care, Hospital Care, Home and Long-Term Care, Community Care, and more.",,,,,,,,,,,,,,,,,,,,,,
,Recommend patients to seek supplemental screening to solve low uptake of suplemental breast MRI screening in women with exremely dense breasts.,Low uptake of supplemental breast MRI screening in women with extremely dense breasts.,Yes,"Physician, Patient",,Patient,,"Few women undergo supplemental breast MRI exams, with screening consistently lower among racially minoritized populations.",Patients should seek supplemental screening and clinicians should recommend it.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Lack of awareness, financial concerns, and the complexity of accessing MRI screenings, social-economics constraints, absence of consistent guidelines","By implementing - 
 nudge on patients: educational and actionable (call to action) text message
 Nudge on clinicians: A note embedded within mammogram result reports served as timely notice to focus clinicians' attention,
 ordering and scheulding supplemental breast MRI increase.","Stage 1, Stage 2",,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Adopt a tailored approach to opioid prescribing and consider patient-level characteristics to solve the mismatch in surgical pain management and opioid stewardship.,Balancing surgical pain management and opioid stewardship.,Yes,"Physician, Nurse Practitioner",,Patient,,there is a mismatch between the number of opioid tablets prescribed and the actual consumption by patients that leads to unused opioids.,Clinicians should adopt a tailored approach to opioid prescribing and consider patient-level characteristics to better match prescription size with actual needs.,Systemic corporation: the desired behaviour involves some changes to upstream/downstream practice in the first place,,"1) most guidelines recommend a single default number of tablets meant to cover a majority of patients' needs.
 2) Lack of data to determine wich patient characteristics or variables can be used to support a more tailored approach","Can lead to a reduction in unused opioids, potentially decreasing the risk of opioid misuse within the community and improving postoperative pain management.",Stage 3,,"Primary Care, Hospital Care",,,,,,,,,,,,,,,,,,,,,,
,A high understanding of symptoms and functional status of their patients to solve insufficiency in communication about symptom and function between advanced cancer patients and oncologists.,Insufficient symptom and function communication between advanced cancer patients and oncologists.,Yes,"Physician, Nurse Practitioner, Nurse, Pharmacist, Patient",,"Patient, Nurse Practitioner, Physician",,Oncology clinicians identify as low as 25% of patient-reported symptoms. Clinicians underestimate symptom severity. Oncology clinicians often overestimate patient activity levels.,Clinicians have a high understanding of symptoms and functional status of their patients.,Tech/tools constraints: the desired behaviour change is restricted due to underequipped or inaccessible technology/device/tools,,Lack in method in intergrating clinical and prognostic data in clinical care to prompt earlier recognition of symptom and functional decline.,"Behavioral economic principles can inform the optimal use of data to improve symptom management, for instance, automated defaut email or text, active choice.","Stage 3, Stage 4",,"Primary Care, Hospital Care",,,,,,,,,,,,,,,,,,,,,,
,"Active recommendation of tobacco use treatment (TUT) and discussion about taobacco use and treatment options to solve low utilization of evidence-based TUT.
",Low utilization of evidence-based tobacco treatment used for smoking cancer patients in cancer centers.,Yes,"Physician, Patient",,Patient,,"There's a significant gap in systematically engaging patients in tobacco use treatment (TUT), with many cancer centers failing to consistently identify patient tobacco use and engage in evidence-based TUT.","Clinicians should actively engage in TUT by recommending it to their patients, and patients should be more open and proactive in discussing their tobacco use and treatment options with their clinicians.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Clinician's pessimism about TUT effectiveness, misconceptions about patient resistance, implicit biases, and certain patient challenges such as low self-efficacy and perceived benefits of quitting, perceived treatment risk and socio-economic constraints.","Behavioral economic informed EHR nudges, more specifically, opting out of the deflaut option, aimed at oncology clinicians significantly increase TUT engagement.","Stage 2, Stage 3",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Effectively use patients' health status  for patient management to solve hospital admission challenge at COVID time.,Manage COVID-19 patients at home to monitor symptoms and reduce hospital admissions.,Yes,Patient,,Patient,,Patients and clinicians may not fully utilize or engage with remote monitoring programs due to various barriers.,Patients should regularly update their health status through the program and clinicians should effectively use this data for patient management.,Ambiguity: unclear guidance to users to adopt desired behaviour,,"Lack of clarity about enrollment, preferences for communication methods, and accessibility issues for some patient groups.","The program could lead to improved patient management, earlier intervention, and potentially reduced hospital visits.","Stage 1, Stage 2",,"Primary Care, Home and Long-Term Care, Community Care.",,,,,,,,,,,,,,,,,,,,,,
,Use universal screening protocol and automated prompts for treatment initiation to solve inconsistency in adoption of ED-initiated buprenorphine for opioid use disorder.,Inconsistent adoption of ED-initiated buprenorphine for opioid use disorder.,Yes,"Physician, Pharmacist",,Patient,,Variability in the adoption of buprenorphine treatment.,Clinicians should use a universal screening protocol and automated prompts for treatment initiation.,Systemic corporation: the desired behaviour involves some changes to upstream/downstream practice in the first place,,"The barriers to screening and treatment include limited clinician knowledge and experience, lack of streamlined workflows, competing demands, limited postdischarge care coordination resources, and continued stigma.",Leads to more consistent and effective treatment of opioid use disorder in EDs.,"Stage 2, Stage 3",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,"Take extra consideration of multidimensional factors (social, functional, and cognitive) on patients to solve imcomprehensive evaluation and excess variation in hospitalization rates.",Incomprehensive evaluation in hospital admissions for older patients with medium illness leading to excess variation in hospitalization rates across hospitals and across physicians.,Yes,Physician,,Patient,,Admissions are often based primarily on immediate medical conditions without considering broader patient needs.,"Patients , especially elder patienrs, at middle level of illness need clinic to take extra consideration of multidimensional factors (social, functional, and cognitive) in making hospital admission decisions. For instance, using clincal risk scores to guide decision-making.",Systemic corporation: the desired behaviour involves some changes to upstream/downstream practice in the first place,,Lack of systematic methods to capture the data of holistic factors in clinical decision-making and the default to hospitalization.,"By introducing an improved measurement to admission decision making, hospitals/clinics can reduce low-value admission and ensure the caring for those who are in great medical needs.",Stage 2,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Initiate evidence-based treatments for OUD during hospitalization to solve the increasing before-medically-advised (BMA) discharges for patients with opioid use disorder.,"Increasing before-medically-advised discharges for patients with opioid use disorder, particularly those with injection-related infections.",Yes,"Physician, Pharmacist",,Patient,,Patients are often discharged BMA due to untreated withdrawal and pain.,"Hospitals should initiate evidence-based treatments for OUD, such as methadone and buprenorphine, during hospitalization.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,Lack of protocol for OUD treatment initiation in hospitals and reluctance due to potential complications.,"Additionally, the behaviour change can reduce the all-cause death and hospital readmission.","Stage 3, Stage 4",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
